Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-05-05,2014,5,5,Monday,18,2014-18,187.14,188.55,186.62,188.42,75883000.0,166.5,0.0019143094909919167,165.42857142857147,164.4644
2014-05-06,2014,5,6,Tuesday,18,2014-18,188.0,188.13,186.74,186.78,85454000.0,165.05,-0.008703877272507765,165.59142857142862,164.5118
2014-05-07,2014,5,7,Wednesday,18,2014-18,187.41,187.97,186.01,187.88,106500000.0,166.02,0.005889342815278198,165.70214285714292,164.58
2014-05-08,2014,5,8,Thursday,18,2014-18,187.71,189.05,187.08,187.68,93618000.0,165.84,-0.0010643197466514431,165.78357142857152,164.6444
2014-05-09,2014,5,9,Friday,18,2014-18,187.71,188.04,186.83,187.96,83679000.0,166.09,0.001491543214039659,165.84142857142865,164.6966
2014-05-12,2014,5,12,Monday,19,2014-19,188.8,189.88,188.0,189.79,86940000.0,167.71,0.009736036057555353,165.96142857142863,164.773
2014-05-13,2014,5,13,Tuesday,19,2014-19,190.04,190.42,189.77,189.96,66454000.0,167.86,0.0008960225352214746,166.1200000000001,164.8754
2014-05-14,2014,5,14,Wednesday,19,2014-19,189.79,189.88,188.79,189.06,72367000.0,167.06,-0.004738086673660824,166.19785714285723,164.916
2014-05-15,2014,5,15,Thursday,19,2014-19,188.68,188.72,186.48,187.4,154956000.0,165.59,-0.00877990735004297,166.26785714285725,164.9244
2014-05-16,2014,5,16,Friday,19,2014-19,187.51,188.13,186.72,188.05,97458000.0,166.17,0.0034683591472997044,166.34214285714296,164.9368
2014-05-19,2014,5,19,Monday,20,2014-20,187.69,188.89,187.52,188.74,63839000.0,166.78,0.003669226377071011,166.40500000000011,164.96
2014-05-20,2014,5,20,Tuesday,20,2014-20,188.65,188.67,187.07,187.55,111644000.0,165.73,-0.006304853654055753,166.35714285714295,164.96379999999996
2014-05-21,2014,5,21,Wednesday,20,2014-20,188.09,189.22,188.06,189.13,89093000.0,167.12,0.008424208273946965,166.40714285714293,165.0118
2014-05-22,2014,5,22,Thursday,20,2014-20,189.18,189.98,188.86,189.59,61549000.0,167.53,0.0024322132071943336,166.50357142857155,165.0672
2014-05-23,2014,5,23,Friday,20,2014-20,189.76,190.48,189.59,190.35,61092800.0,168.2,0.0040084833023126265,166.62500000000009,165.17300000000003
2014-05-27,2014,5,27,Tuesday,21,2014-21,191.06,191.58,190.95,191.52,72010000.0,169.23,0.006146567814772963,166.9235714285715,165.30840000000003
2014-05-28,2014,5,28,Wednesday,21,2014-21,191.52,191.82,191.06,191.38,66723000.0,169.11,-0.0007308641797207915,167.14428571428581,165.41200000000003
2014-05-29,2014,5,29,Thursday,21,2014-21,191.82,192.4,191.33,192.37,64377000.0,169.99,0.005173026418959559,167.44071428571436,165.50980000000004
2014-05-30,2014,5,30,Friday,21,2014-21,192.19,192.8,192.03,192.68,76316000.0,170.26,0.0016112807967822995,167.7385714285715,165.63060000000004
