Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-29,2016,3,29,Tuesday,13,2016-13,123.43,124.57,123.34,123.97,7188200,105.54,0.006495366517289547,104.62571428571428,101.495
2016-03-30,2016,3,30,Wednesday,13,2016-13,124.9,126.1,124.6,125.83,4853700,107.13,0.015003591233227143,105.00214285714286,101.6912
2016-03-31,2016,3,31,Thursday,13,2016-13,126.15,126.96,125.61,125.68,7685900,107.0,-0.0011919172682931523,105.34857142857143,101.84559999999999
2016-04-01,2016,4,1,Friday,13,2016-13,125.19,127.39,124.87,127.02,5212400,108.14,0.010661907759039302,105.68142857142857,102.0518
2016-04-04,2016,4,4,Monday,14,2016-14,127.05,127.87,126.88,127.57,4239300,108.61,0.004329889124726982,105.96571428571428,102.23259999999999
2016-04-05,2016,4,5,Tuesday,14,2016-14,126.84,127.78,126.39,127.38,6282200,108.45,-0.0014892443890083262,106.20642857142857,102.4008
2016-04-06,2016,4,6,Wednesday,14,2016-14,127.47,127.69,126.84,127.52,5619900,108.56,0.0010989005577306532,106.44928571428571,102.55760000000001
2016-04-07,2016,4,7,Thursday,14,2016-14,127.37,128.52,127.02,128.14,4720800,109.09,0.004861970563661888,106.75214285714286,102.7042
2016-04-08,2016,4,8,Friday,14,2016-14,128.28,128.74,127.28,127.96,3625600,108.94,-0.0014047823723765118,106.98785714285714,102.84039999999999
2016-04-11,2016,4,11,Monday,15,2016-15,128.35,128.69,127.45,127.56,6973700,108.6,-0.0031258655676109637,107.21571428571428,102.9442
2016-04-12,2016,4,12,Tuesday,15,2016-15,128.08,128.28,126.89,127.61,5211400,108.64,0.00039187058912881767,107.44642857142857,103.0252
2016-04-13,2016,4,13,Wednesday,15,2016-15,127.71,127.92,126.08,126.89,4985200,108.03,-0.005642046285678659,107.61071428571428,103.08
2016-04-14,2016,4,14,Thursday,15,2016-15,127.14,128.09,127.04,127.51,4834800,108.56,0.0048859682954098815,107.86785714285713,103.15660000000001
2016-04-15,2016,4,15,Friday,15,2016-15,127.08,128.04,126.96,127.78,3103800,108.79,0.0021176199388419636,108.14857142857143,103.27960000000002
2016-04-18,2016,4,18,Monday,16,2016-16,127.78,128.91,127.68,128.85,4525600,109.7,0.008373822248245899,108.44571428571429,103.4346
2016-04-19,2016,4,19,Tuesday,16,2016-16,128.91,129.35,128.12,128.86,4606300,109.71,7.754772801837895e-05,108.63,103.6786
2016-04-20,2016,4,20,Wednesday,16,2016-16,129.31,129.8,128.51,128.55,5006700,109.44,-0.002405601307485461,108.80428571428571,103.90619999999998
2016-04-21,2016,4,21,Thursday,16,2016-16,128.55,128.75,125.6,125.79,7947600,107.09,-0.021470339774102953,108.72928571428572,104.0706
2016-04-22,2016,4,22,Friday,16,2016-16,128.17,128.4,125.36,125.5,9311300,106.85,-0.0023055859182509186,108.60357142857143,104.22120000000001
2016-04-25,2016,4,25,Monday,17,2016-17,125.07,127.53,125.01,127.46,6979900,108.51,0.015617716583112173,108.60785714285714,104.41879999999999
2016-04-26,2016,4,26,Tuesday,17,2016-17,127.42,128.34,127.03,127.71,4082300,108.73,0.0019611009754321174,108.62,104.60040000000001
2016-04-27,2016,4,27,Wednesday,17,2016-17,127.94,128.56,127.78,128.3,4436200,109.23,0.004620228747038935,108.63000000000001,104.77099999999999
2016-04-28,2016,4,28,Thursday,17,2016-17,127.86,128.85,127.44,127.92,3385800,108.91,-0.0029618906200790107,108.62785714285714,104.9442
2016-04-29,2016,4,29,Friday,17,2016-17,127.93,127.93,126.1,126.49,6276900,107.69,-0.011178843562882679,108.56285714285715,105.118
2016-05-02,2016,5,2,Monday,18,2016-18,126.65,128.22,126.5,128.2,4830800,109.14,0.013518771521595863,108.59857142857142,105.3316
2016-05-03,2016,5,3,Tuesday,18,2016-18,127.4,128.99,127.38,128.4,4048400,109.31,0.0015600066770551368,108.69000000000001,105.5292
2016-05-04,2016,5,4,Wednesday,18,2016-18,127.57,130.43,127.57,129.33,6613700,110.11,0.007243217400862978,108.80071428571429,105.75580000000002
2016-05-05,2016,5,5,Thursday,18,2016-18,129.31,129.98,129.0,129.28,4519700,110.06,-0.00038678457845120473,108.89142857142858,105.97879999999999
2016-05-06,2016,5,6,Friday,18,2016-18,129.38,130.58,128.59,130.58,4418400,111.17,0.010055853839507911,108.99642857142858,106.2018
2016-05-09,2016,5,9,Monday,19,2016-19,130.65,131.5,130.35,130.83,5006800,111.38,0.0019144493158189668,109.11571428571429,106.43620000000001
2016-05-10,2016,5,10,Tuesday,19,2016-19,130.85,131.96,130.85,131.6,4082600,112.04,0.005885601308785127,109.30142857142857,106.6816
2016-05-11,2016,5,11,Wednesday,19,2016-19,131.24,131.62,129.14,129.14,6890200,109.94,-0.018693284825251233,109.50500000000001,106.85679999999998
